code,status,url
FIIS02300N,DOWNLOADED,https://backend.orbit.dtu.dk/ws/portalfiles/portal/106717071/TransmissionNIR_Kamran_et_al_MAR_69_3.pdf
MOIC84900D,DOWNLOADED,https://ic2ravarino.edu.it/wp-content/uploads/2024/03/RAV_202223_MOIC84900D_20221230075836-1-1.pdf
METD05000E,FAILED,https://www.regione.sicilia.it/sites/default/files/2025-03/734+DA_Istr++del+28_03_2025+DECRETO+DI+NOMINA+REVISORI+ME+517.pdf
ARVC010009,DOWNLOADED,https://www.arezzoistruzione.it/usparezzo/images/allegati/INTERPELLI_20242025/ARVC010009/A059/m_pi.AOOUSPAR.REGISTRO_UFFICIALEE.0003084.31-03-2025.pdf
CBIS002003,DOWNLOADED,https://www.istruzione.it/archivio-usr-molise/images/Decreto_individuazione_scuola_polo_INVALSI.pdf
LC1M00400L,FAILED,https://www.confindustrialeccoesondrio.it/SITO_DOC/docs_liberi/cascina+don+guanella+il+nuovo+progetto.pdf
NASD04000B,FAILED,https://liceodechirico.edu.it/attachments/article/9/Dichiarazione+Lezioni+Private.pdf
PEIC83300G,DOWNLOADED,https://cires1.colorado.edu/jimenez-group//UsrMtgs/clinic_2015/06-19-2015_PCJ_ePToF_AMSClinic.pdf
LEIS03100A,DOWNLOADED,https://psicologipuglia.it/wp-content/uploads/2022/11/002-Avviso_di_selelzione_figura_Psicologo.pdf
PZIS00600A,DOWNLOADED,https://www.iismiraglialauria.edu.it/wp/wp-content/uploads/2021/02/Attivazione-piattaforma-Pago-in-Rete-signed6715.pdf
NAIC8FM00X,DOWNLOADED,https://www.icbuonarroticorsico.edu.it/wp-content/uploads/2025/01/PTOF-2025-2028.pdf
CZIS01800B,DOWNLOADED,https://www.guarascicalabretta.edu.it/website/wp-content/uploads/2025/03/Aggiornamento_graduatorie_interne_distituto_personale_ATA_A.S._2025-2026.pdf
GRIS01200Q,DOWNLOADED,https://csalaquila.wordpress.com/wp-content/uploads/2021/04/m_pi.aoouspaq.registro-ufficialei.0003441.30-04-2021.pdf
NAIC8CM004,DOWNLOADED,https://www.ic58jfkennedy.edu.it/wp-content/uploads/2021/01/NAIC8CM004-PTOF-201922-202021-.pdf
MIMM01900D,FAILED,https://www.trovalascuola.it/wp-content/uploads/2020/06/PTOF_Educandato-Emanuela-Setti-Carraro-dalla-Chiesa.pdf
SRIC82100E,DOWNLOADED,https://www.istitutodeamicisfloridia.edu.it/wp-content/uploads/2023/10/timbro_Circ.-n.-60-Invito-conferenza-stampa-giochi-inclusivi-a-scuola.pdf
PAIC87200Q,DOWNLOADED,https://uparcella.org/wp-content/uploads/2021/03/PADRE-PINO-PUGLISI.pdf
TRMM045005,NOT_FOUND,
AVTLU25001,DOWNLOADED,https://www.ordinefarmacistiavellino.it/wp-content/uploads/Piano-triennale-prevenzione-della-corruzione.pdf
NAIC8G300P,DOWNLOADED,https://www.uat-napoli.it/wp-content/uploads/2024/09/m_pi.AOOUSPNA.REGISTRO-UFFICIALEU.0016012.23-09-2024.pdf
LTPS04000R,DOWNLOADED,https://liceodavincimaglie.edu.it/images/documenti/pdf/PTOF/timbro_protocollo_ATTO_DI_indirizzo_per_la_predisposizione_PTOF_2025-2028_compressed_1_compressed_1.pdf
TOIC8BG00B,DOWNLOADED,https://vecchiosito.icdellavalnure.edu.it/wp-content/uploads/sites/168/PTOF-cosa-e.pdf
